DATE,GDP,GDPDEF,HOANBS,PNFI,PCE,CNP16OV,ford_tfp,dtfp_util,GDPpc,PCEpc,PNFIpc,HOANBSpc,LABOR_PROD
1957Q1,469.779,15.689,52.05,52.465,,111720.33333333333,0.222231555735362,3.8236952995016544,-822.4451462201623,,-1041.6567552945207,-766.3607723094387,-55.29022535583391
1957Q2,472.025,15.799,51.939,52.64,,112045.33333333333,-1.53885203031407,5.904546988308978,-822.9573526894108,,-1042.3129190161642,-766.318254327093,-55.29846496711648
1957Q3,479.49,15.893,51.688,54.066,,112430.66666666667,-0.127765274550219,4.363127229393762,-822.32477360077,,-1040.5765252575418,-763.9886491860734,-53.83813679218752
1957Q4,474.864,15.904,50.622,53.215,,112865.66666666667,2.0134333079653,8.836202347312248,-823.7495802627241,,-1042.618393838321,-765.9613288468992,-52.79284670767866
1958Q1,467.54,16.076,49.489,49.369,,113236.33333333333,-1.39125237064687,1.2956621768750205,-826.7074929115934,,-1051.523713883191,-773.7909662244956,-53.15929926784686
1958Q2,471.978,16.123,48.762,47.83,,113532.0,0.727799304911241,0.8941031052841213,-826.3154464144271,,-1055.2433780781842,-777.2186956800239,-51.02657706509493
1958Q3,485.841,16.221,49.347,47.435,,113846.33333333333,-0.796334258823926,-0.08377762555611667,-824.3030154044076,,-1056.9551211077232,-778.3244512009254,-49.93022629481115
1958Q4,499.555,16.298,50.084,49.332,,114283.33333333333,-1.66301508980309,0.9327670701143607,-822.3760722805384,,-1053.8905467238687,-774.7863066340659,-49.10262945676841
1959Q1,510.33,16.336,51.054,50.942,309.4666666666667,114714.33333333333,0.144520948726983,-4.040204270450315,-820.8513945116212,-870.872113467364,-1051.2883789748512,-771.9512528326202,-49.11975822281839
1959Q2,522.653,16.361,52.02,52.735,315.5,115139.0,0.031716258783582,0.06564180458280333,-818.9878063172795,-869.4637145132722,-1048.3516455385413,-768.8616001384473,-48.76109500802491
1959Q3,525.034,16.424,51.867,54.421,320.73333333333335,115550.66666666667,2.09383130450159,3.605263238549149,-819.2745042511241,-868.5598024313422,-1045.9457956127187,-766.0714276410555,-48.39634071079571
1959Q4,528.6,16.489,51.882,54.398,322.8666666666666,115918.0,-0.630145437683367,3.60232843472637,-819.3099813316245,-868.6092374185414,-1046.7004427006257,-766.4310935087426,-48.14333989549906
1960Q1,542.648,16.555,52.208,56.322,326.3666666666667,116707.66666666667,1.25862677358709,6.244328107136689,-817.7654823363216,-868.6094188939652,-1044.3030460048658,-763.6342289049448,-46.546305158182236
1960Q2,541.08,16.597,52.295,57.188,332.2,117036.66666666667,-1.24278728108331,-0.6517431205159285,-818.5897368914386,-867.3727313956183,-1043.312042496846,-762.3898468829879,-47.255557812382
1960Q3,545.604,16.654,52.003,56.165,332.1333333333333,117411.0,-0.953927709070136,2.1612137293423634,-818.4192868683018,-868.0549811843781,-1045.7792519470163,-764.5142091656536,-46.2058399157933
1960Q4,540.197,16.703,51.528,55.882,334.0333333333333,117824.33333333333,0.076005434900793,3.170194495990707,-820.0604549830567,-868.1297649278785,-1046.9296112946006,-765.3707768938195,-46.577980540800986
1961Q1,545.018,16.739,51.231,55.012,334.5333333333333,118254.33333333333,-1.05869721012283,-0.581400235138432,-819.7515455687466,-868.5597751504092,-1049.078293407579,-767.3041607955304,-45.32673220529112
